Column1,Subject,t1_ph,t2_ph,label_ph,t1_wd,t2_wd,label_wd,t1_st,t2_st,label_st,seg_type,t1_ax,t2_ax,final,num_syls,gesture_syl,is_onset,closed_syl,dict_stress,has_suffix
33,Gulnisa,19.6939,19.7639,m,19.34507325,20.11956662,türkmen,19.3439,20.82385563,türkmen türk,consonant,19.733,19.766,1,2,1,1,1,?,0
34,Gulnisa,20.3139,20.49814726,y,20.11956662,20.82430287,türk,19.3439,20.82385563,türkmen türk,vowel,20.4,20.433,1,1,1,0,1,1,0
35,Gulnisa,21.3984,21.44142893,p,21.3984,21.7584,pirsent,21.0884,24.5922,emdi yüz pirsent chüshenmisimu lékin chüshineleydu,consonant,21.4,21.433,0,2,1,1,1,2,0
36,Gulnisa,21.8284,21.8984,ʃ,21.7584,22.5384,chüshenmisimu,21.0884,24.5922,emdi yüz pirsent chüshenmisimu lékin chüshineleydu,consonant,21.833,21.866,0,5,2,1,1,2,1
37,Gulnisa,23.5084,23.6284,n,23.2684,23.6284,lékin,21.0884,24.5922,emdi yüz pirsent chüshenmisimu lékin chüshineleydu,consonant,23.6,23.633,1,2,2,0,1,2,0
38,Gulnisa,42.6258,42.6658,l,42.2958,43.1058,chüshineleysiz,41.7458,44.40610167,he'e chüshineleysiz yeni qazaqchini chüshineleysiz,consonant,42.633,42.666,0,5,4,1,1,2,1
39,Gulnisa,43.4958,43.5758,z,43.3858,43.8458,qazaqchini,41.7458,44.40610167,he'e chüshineleysiz yeni qazaqchini chüshineleysiz,consonant,43.5,43.533,0,4,2,1,1,2,1
40,Gulnisa,43.7558,43.7858,i,43.3858,43.8458,qazaqchini,41.7458,44.40610167,he'e chüshineleysiz yeni qazaqchini chüshineleysiz,vowel,43.766,43.8,0,4,1,0,0,2,1
41,Gulnisa,50.0329,50.1029,t,49.7129,50.30499244,qazaqistangha,49.3929,53.0937,shu qazaqistangha barghanda ular sizge rusche sözlidimu,consonant,50.066,50.1,0,5,4,1,1,2,1
42,Gulnisa,51.41853628,51.90408789,,51.41853628,51.90408789,,49.3929,53.0937,shu qazaqistangha barghanda ular sizge rusche sözlidimu,consonant,51.666,51.7,,,,,,,
43,Gulnisa,52.4829,52.5329,t͡ʃ,52.3429,52.5829,rusche,49.3929,53.0937,shu qazaqistangha barghanda ular sizge rusche sözlidimu,consonant,52.5,52.533,1,2,2,1,0,1,1
44,Gulnisa,53.0937,60.3035,,53.0937,60.3035,,53.0937,54.0875,,consonant,59.166,59.2,,,,,,,
45,Gulnisa,61.14460213,61.2435,a,61.14460213,62.06608057,amérikiliq,60.3035,64.6401,kéyin siz men amérikiliq dep uyghurche sözlisingiz ular heyran qalghandu,vowel,61.233,61.266,0,5,1,0,0,5,1
46,Gulnisa,62.4035,62.4835,j,62.3735,62.6635,uyghurche,60.3035,64.6401,kéyin siz men amérikiliq dep uyghurche sözlisingiz ular heyran qalghandu,consonant,62.466,62.5,0,3,1,0,1,1,1
47,Gulnisa,63.3935,63.5135,ɛ,63.3335,63.7035,heyran,60.3035,64.6401,kéyin siz men amérikiliq dep uyghurche sözlisingiz ular heyran qalghandu,consonant,63.466,63.5,1,2,1,0,1,,0
48,Gulnisa,121.567,121.687,i,121.107,121.747,oqutquchimu,120.477,121.7473571,hem zalim oqutquchimu,vowel,121.666,121.7,0,5,4,0,0,2,1
49,Gulnisa,125.1211,125.4411,a,125.0911,125.5811,zalim,125.0911,126.4048,zalim bolsa,vowel,125.333,125.366,0,2,1,0,0,,0
50,Gulnisa,125.5511,125.5811,m,125.0911,125.5811,zalim,125.0911,126.4048,zalim bolsa,consonant,125.566,125.6,1,2,2,0,1,,0
51,Gulnisa,129.1251,129.2051,t,128.9751,129.5251,oqutquchimu,128.4325653,131.1867,zalim oqutquchimu lazim he shuni untup qalmanglar,consonant,129.2,129.233,0,5,2,0,1,2,1
52,Gulnisa,129.3951,129.4451,m,128.9751,129.5251,oqutquchimu,128.4325653,131.1867,zalim oqutquchimu lazim he shuni untup qalmanglar,consonant,129.4,129.433,1,5,5,1,0,2,1
53,Gulnisa,129.5551,129.7151,a,129.5251,129.9351,lazim,128.4325653,131.1867,zalim oqutquchimu lazim he shuni untup qalmanglar,vowel,129.6,129.633,0,2,1,0,0,2,0
54,Gulnisa,151.0936,151.1336,r,151.0236,151.5836,pursetliri,149.9052647,153.0836,shundaq bir pursetliri bar mektepler bar,consonant,151.133,151.166,0,4,1,0,1,,1
55,Gulnisa,151.2736,151.4036,t,151.0236,151.5836,pursetliri,149.9052647,153.0836,shundaq bir pursetliri bar mektepler bar,consonant,151.366,151.4,0,4,2,0,1,,1
56,Gulnisa,152.5836,152.7036,r,152.0136,152.7036,mektepler,149.9052647,153.0836,shundaq bir pursetliri bar mektepler bar,consonant,152.6,152.633,1,3,3,0,1,2,1
57,Gulnisa,155.6435,155.7235,ɛ,155.1735,155.9035,mektepler,153.5630226,157.5035,emdi qirghizistanda bolsa mektepler bolmisimu ata-anilar,consonant,155.7,155.733,1,3,3,0,1,2,1
58,Gulnisa,156.0935,156.2035,o,155.9835,156.6735,bolmisimu,153.5630226,157.5035,emdi qirghizistanda bolsa mektepler bolmisimu ata-anilar,vowel,156.1,156.133,0,4,1,0,1,1,1
59,Gulnisa,157.0935,157.1935,l,156.6735,157.5035,ata-anilar,153.5630226,157.5035,emdi qirghizistanda bolsa mektepler bolmisimu ata-anilar,consonant,157.1,157.133,1,5,5,1,1,5,1
60,Gulnisa,157.8814,157.9414,u,157.7714,157.9414,shu,157.5035,157.7717005,,vowel,157.9,157.933,1,1,1,0,0,1,0
61,Gulnisa,159.7521,159.8221,j,159.6640168,160.0821,uyghurche,159.1115516,162.7021,shu uyghurche gep qilsun balilargha özbékistandimu shu,consonant,159.766,159.8,0,3,1,0,1,1,1
62,Gulnisa,163.5002,163.6302,k,163.3602,163.6302,bek,163.1503309,167.3302,bu bek muhim ma bizmu men özemni baya misal qilip éytip berdimghu öyde,consonant,163.6,163.633,1,1,1,0,1,1,0
63,Gulnisa,164.2302,164.3602,b,164.2302,164.6302,bizmu,163.1503309,167.3302,bu bek muhim ma bizmu men özemni baya misal qilip éytip berdimghu öyde,consonant,164.333,164.366,0,2,1,1,1,1,0
64,Gulnisa,165.5102,165.6102,s,165.3902,165.7402,misal,163.1503309,167.3302,bu bek muhim ma bizmu men özemni baya misal qilip éytip berdimghu öyde,consonant,165.566,165.6,1,2,2,1,1,,1
65,Gulnisa,166.1202,166.2002,e,166.1202,166.3702,éytip,163.1503309,167.3302,bu bek muhim ma bizmu men özemni baya misal qilip éytip berdimghu öyde,vowel,166.133,166.166,0,2,1,0,1,1,1
66,Gulnisa,168.5533,168.6633,p,168.5533,168.9933,peqet,167.6135222,170.2233,ata-anilar bizni peqet uyghurche sözletküzetti,consonant,168.633,168.666,0,2,1,1,0,2,0
67,Gulnisa,171.27,171.4,z,171.2,171.4,biz,170.8895737,175.8151836,shunga biz hemmimiz hemmimizning alte bala öyde hemmimizning uyghurchisi yaxshi,consonant,171.366,171.4,1,1,1,0,1,1,0
68,Gulnisa,171.76,171.87,m,171.4,172.1,hemmimiz,170.8895737,175.8151836,shunga biz hemmimiz hemmimizning alte bala öyde hemmimizning uyghurchisi yaxshi,consonant,171.766,171.8,1,3,3,1,1,1,1
69,Gulnisa,172.1,172.16,,172.1,172.16,,170.8895737,175.8151836,shunga biz hemmimiz hemmimizning alte bala öyde hemmimizning uyghurchisi yaxshi,consonant,172.133,172.166,,,,,,,0
70,Gulnisa,172.46,172.54,i,172.16,172.9,hemmimizning,170.8895737,175.8151836,shunga biz hemmimiz hemmimizning alte bala öyde hemmimizning uyghurchisi yaxshi,vowel,172.533,172.566,0,4,3,0,1,1,1
71,Gulnisa,172.9,173.03,a,172.9,173.2,alte,170.8895737,175.8151836,shunga biz hemmimiz hemmimizning alte bala öyde hemmimizning uyghurchisi yaxshi,vowel,172.933,172.966,0,2,1,0,1,1,0
72,Gulnisa,174.55,174.6,i,174.25,174.78,hemmimizning,170.8895737,175.8151836,shunga biz hemmimiz hemmimizning alte bala öyde hemmimizning uyghurchisi yaxshi,vowel,174.566,174.6,1,4,4,0,1,1,1
73,Gulnisa,176.6421,176.7021,ɛ,176.5221,177.1121,kelgüside,176.3227131,177.8221,mana kelgüside esqatti,consonant,176.7,176.733,0,4,1,0,1,1,1
74,Gulnisa,180.04,180.11,ʁ,179.96,180.5,uyghurche,178.3196669,184.3241313,köpliri manga dégenti men ashu uyghurche shu aspirantorgha kirip he shu dissértatsiyisi,consonant,180.066,180.1,0,3,2,0,1,1,1
