Subject,t1_ph,t2_ph,label_ph,t1_wd,t2_wd,label_wd,t1_st,t2_st,label_st,seg_type,t1_ax,t2_ax,final,num_syls,gesture_syl,is_onset,closed_syl
Gulnisa (R),29.4355,29.5055,a,29.4055,29.84059425,بارسام,24.7555,31.01598022,مەسىلەن مەن قازاقىستانغا بارغاندىچۇ نەگىلا بارسام ئالماتى شەھىرىدە نەگە بارسام ئۇيغۇرچە گەپ قىلىمەن,vowel,29.466,29.5,,,,,
Gulnisa (R),29.63897841,29.75378743,a,29.4055,29.84059425,بارسام,24.7555,31.01598022,مەسىلەن مەن قازاقىستانغا بارغاندىچۇ نەگىلا بارسام ئالماتى شەھىرىدە نەگە بارسام ئۇيغۇرچە گەپ قىلىمەن,vowel,29.666,29.7,,,,,
Gulnisa (R),30.1255,30.2555,u,30.1255,30.4955,ئۇيغۇرچە,24.7555,31.01598022,مەسىلەن مەن قازاقىستانغا بارغاندىچۇ نەگىلا بارسام ئالماتى شەھىرىدە نەگە بارسام ئۇيغۇرچە گەپ قىلىمەن,vowel,30.166,30.2,0,3,,,
Gulnisa (R),30.4555,30.4955,ɛ,30.1255,30.4955,ئۇيغۇرچە,24.7555,31.01598022,مەسىلەن مەن قازاقىستانغا بارغاندىچۇ نەگىلا بارسام ئالماتى شەھىرىدە نەگە بارسام ئۇيغۇرچە گەپ قىلىمەن,consonant,30.433,30.466,1,3,,,
Gulnisa (R),34.2257,34.2557,h,34.2257,34.46576073,ھەيران,33.94313877,34.225961,laughter,consonant,33.166,33.2,0,2,,,
Gulnisa (R),34.2257,34.2557,h,34.2257,34.46576073,ھەيران,33.94313877,34.225961,laughter,consonant,33.566,33.6,0,2,,,
Gulnisa (R),39.5457,39.7257,z,39.4657,39.7257,بىز,34.225961,42.15009689,ھەيران قالىتى قارشى تەرەپ ھە قازاق تىلىنى بىلسە قاچاقچە بىلسە ئاندىن بىز ھېلىقى ھىم ھىم پىكىر ئالماشتۇرالايمىز,consonant,39.633,39.666,1,1,,,
Gulnisa (R),40.04069279,40.1557,m,40.04069279,40.1557,ھىم,34.225961,42.15009689,ھەيران قالىتى قارشى تەرەپ ھە قازاق تىلىنى بىلسە قاچاقچە بىلسە ئاندىن بىز ھېلىقى ھىم ھىم پىكىر ئالماشتۇرالايمىز,consonant,40.033,40.066,1,1,,,
Gulnisa (R),40.6257,40.6757,k,40.4757,40.8057,پىكىر,34.225961,42.15009689,ھەيران قالىتى قارشى تەرەپ ھە قازاق تىلىنى بىلسە قاچاقچە بىلسە ئاندىن بىز ھېلىقى ھىم ھىم پىكىر ئالماشتۇرالايمىز,consonant,40.633,40.666,1,2,,,
Gulnisa (R),40.9557,41.0157,m,40.8057,42.15009689,ئالماشتۇرالايمىز,34.225961,42.15009689,ھەيران قالىتى قارشى تەرەپ ھە قازاق تىلىنى بىلسە قاچاقچە بىلسە ئاندىن بىز ھېلىقى ھىم ھىم پىكىر ئالماشتۇرالايمىز,consonant,40.966,41,0,6,,,
